Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14798945,i.won.a.maths.debate,"2026-02-17 04:26:50",44,88,nihilisticneuralnet
2,15016752,Neeraj,"2026-02-12 21:59:04",44,28,neerajx3
3,15119426,"Hrithik Reddy","2026-02-13 06:23:18",44,13,hrithik22122
4,14809153,Varra,"2026-02-17 00:44:20",44,70,victorogobi
5,14827487,Pai,"2026-02-15 20:25:38",44,25,rajathrpai
6,14953109,Aman,"2026-02-17 07:28:37",44,48,amanatar
7,15235944,ttytaen,"2026-02-11 21:48:16",44,1,ttytaen
8,14984751,"Boris Liskovets","2026-02-17 00:04:10",44,29,neuralorge
9,14914988,"Harrabi Raouf","2026-02-17 00:13:36",44,58,harrabiraouf
10,14808304,"Gliding Moran","2026-02-16 00:00:09",43,82,paulnkamau
11,14805139,Neer,"2026-02-02 03:16:24",43,48,neerbasant
12,14805125,"Rustam Bazarbayev","2026-02-16 10:01:02",43,43,rustambazarbayev
13,14821453,"Math not mathing","2026-02-16 09:43:19",43,52,"barnobarno,nafizniloy,nahidhossainredom,sayjadrahman"
14,14989279,reyvan14,"2026-02-13 23:25:11",43,55,reyvan14
15,14833324,101,"2026-02-16 10:40:30",43,63,jerrysy
16,14807228,diego.exe,"2026-02-15 05:08:08",43,46,diegoexe
17,14831713,lkevincc,"2026-02-12 03:18:23",43,49,jjsdfd22
18,14838627,"lon guo","2026-02-10 06:19:09",43,29,longuo
19,14863504,"chasing 45 :)","2026-02-16 09:20:55",43,73,idzmanyahya
20,14798938,"THUNDER THUNDER","2026-01-20 08:28:29",43,21,thunderthunder
21,14827230,cc,"2026-02-07 09:45:51",43,24,huochen
22,14915402,"Naoufel El Bachir","2026-02-17 00:18:51",43,20,naoufelelbachir
23,14891477,XY,"2026-01-26 01:30:29",43,49,gxygomes
24,14801940,today,"2026-02-17 02:02:35",43,80,today55
25,14866443,"Vladimir Demidov","2026-02-17 05:08:35",43,73,yekenot
26,14801341,AIGen,"2026-02-16 07:31:24",43,87,"mehrdadkaggle,shimajavanmardi"
27,14806556,HongyuChen123321,"2026-01-28 14:04:41",43,23,hongyuchen123321
28,14814262,wuliao_0,"2026-02-17 03:26:13",43,83,wuliao0
29,14807490,Nero,"2026-02-17 01:34:00",43,80,xukaibing
30,14803816,Dibbler,"2026-02-17 00:29:51",43,59,dibbler
31,14863632,Yasser,"2026-02-16 08:42:14",43,60,ressuy
32,14933049,"Aayush Kanjani","2026-02-14 16:24:09",43,48,aayushkanjani
33,14844275,微信公众号：算法爱好者的空间,"2026-02-16 10:23:10",43,73,guochangzhang
34,14879479,Pragram,"2026-02-17 03:53:02",43,44,pragram
35,14799395,"Mathurin Aché","2026-02-16 19:48:43",43,86,mathurinache
36,15063589,"Changyuan Zhou","2026-02-13 01:24:57",43,23,changyuanzhou
37,14969676,Xz,"2026-02-17 00:04:41",43,61,xiaoz259
38,14800524,"Ravi Ramakrishnan","2026-02-16 07:52:44",43,68,ravi20076
39,14823262,"Overvalue Awareness","2026-02-16 10:01:25",43,61,overvalueawareness
40,14801648,"Chew Kok Wah","2026-02-16 22:49:01",43,84,chewkokwahibrainai
41,14811887,AA,"2026-02-17 01:41:02",43,88,sol2019
42,14801121,"[Deleted] 58d6ffcd-5329-46c7-b99f-0de513977c3f","2026-02-17 03:43:46",43,85,suryamilenial
43,15192195,"Maksym Bilychenko","2026-02-14 07:26:01",43,7,mbilichenko
44,14815619,"Pavel Pavlov","2026-02-13 07:14:45",43,18,akakii
45,14880390,mx1024,"2026-02-16 12:16:54",43,70,"jiadabao,thisisx7,wenliangtlh"
46,15167075,Benchan,"2026-02-16 15:25:54",43,11,nekot0
47,14816264,"Vicens Gaitan","2026-02-16 07:49:32",43,76,vicensgaitan
48,14802630,ShelterW,"2026-02-14 04:50:11",43,53,shelterw
49,14849093,"Ömer Tanır","2026-02-10 06:52:28",43,7,tnr1337
50,14823255,"Istri Baik","2026-02-14 22:19:20",43,47,istribaik
51,14903168,"Diptyajit Das","2026-02-16 09:33:05",43,63,diptyajitdas
52,14806535,SlowIsFast,"2026-02-17 06:53:26",43,73,"doranap,judywatermelon,quickpanda"
53,14801553,Hossein,"2026-02-13 23:42:48",43,45,tomi85
54,14853039,"Shunsuke Hayashi1993","2026-02-13 00:28:01",43,9,shunsukehayashi1993
55,15227559,四月一日,"2026-02-17 01:28:48",43,8,watanukiforkaggle
56,15062270,"Piotr Jurczyk","2026-02-17 07:32:20",43,5,piotrjurczyk
57,14812789,"Nazura Wirayuda Tama","2026-02-17 08:37:34",43,79,nazurawirayudatama
58,14960845,"Ray Yen216","2026-02-15 17:33:21",43,2,rayyen216
59,14803395,"Just a test","2026-01-04 17:39:46",42,74,"shreyansh01m,yiyangzheng"
60,14840523,"Gaurav Gambhir","2026-02-02 14:00:53",42,20,dsbycs
61,14846927,Fff343,"2026-02-16 17:16:20",42,70,fff343
62,15025883,BUNNY'S,"2026-02-07 11:23:05",42,14,tsasidharreddybunny
63,14981300,"Siti Khotijah","2026-02-02 16:53:43",42,46,khotijahs1
64,14839251,JRSSKumarD,"2026-02-17 00:50:29",42,82,jrsskumard
65,15034974,BUNNYSASI6472,"2026-02-01 03:16:56",42,12,bunnysasi6472
66,14991538,barcelona,"2026-02-14 10:44:37",42,42,"ardi76,daniil1423,gadgik,nikee7"
67,14810164,da_pond,"2026-01-06 22:44:57",42,7,dapond
68,14803171,Roadie,"2026-02-15 02:40:09",42,78,akbroe
69,14805197,"Mohamed abdelrazik","2026-02-17 05:58:24",42,67,mohamed3abdelrazik
70,15066497,"Opt Potato!","2026-01-29 03:33:29",42,6,optpotato
71,15035203,placeholder,"2026-02-16 16:25:19",42,14,"alexdack96,jeremyguntoro98,yjadelow"
72,15045959,"Ioannis Pantidis","2026-02-13 20:12:33",42,36,ioannispantidis
73,14868134,Sirvan,"2026-01-25 19:20:54",42,38,sirvan3tr
74,14799130,"Luck is all you need","2026-02-17 03:16:20",42,82,andreasbis
75,14822996,"Maren Sajdaras","2026-02-15 22:06:00",42,56,marensajdaras
76,14841586,Xander,"2026-02-16 03:23:32",42,89,"canqiang,demobin,imaginist"
77,14930119,JasoOKA,"2026-02-17 02:12:43",42,55,jasooka
78,15045827,"Mr RRR","2026-02-08 01:13:34",42,16,larrylin666
79,14874539,ikun,"2026-02-13 07:56:03",42,65,baohaoliao
80,14838968,TuMinhDang,"2026-02-16 10:46:01",42,59,darkswordmg
